#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')"
103,Cyprus,73157.0,42.0,373.0,1.0,71464.0,298,1320.0,15.0,60177.0,307.0,7170941.0,5898635.0,"1,215,695 ",Asia,17,"3,259",0,35,0.8,"1,086",Dummy
104,Mozambique,71461.0,106.0,840.0,0.0,69878.0,,743.0,17.0,2228.0,26.0,567164.0,17679.0,"32,080,922 ",Africa,449,"38,192",57,3,,23,Dummy
105,Luxembourg,70406.0,0.0,818.0,0.0,68943.0,,645.0,3.0,110769.0,1287.0,2972258.0,4676207.0,"635,613 ",Europe,9,777,0,,,"1,015",Dummy
106,Maldives,70077.0,246.0,195.0,3.0,58832.0,"+2,273",11050.0,90.0,127518.0,355.0,928125.0,1688888.0,"549,548 ",Asia,8,"2,818",1,448,5,"20,107",Dummy
107,Namibia,64205.0,1399.0,993.0,20.0,54137.0,403,9075.0,62.0,24843.0,384.0,466070.0,180339.0,"2,584,416 ",Africa,40,"2,603",6,541,8,"3,511",Dummy
108,Singapore,62263.0,18.0,34.0,0.0,61838.0,39,391.0,1.0,10564.0,6.0,12366898.0,2098226.0,"5,893,977 ",Asia,95,"173,352",0,3,,66,Dummy
109,Uganda,60250.0,1735.0,423.0,15.0,48160.0,400,11667.0,24.0,1279.0,9.0,1187676.0,25215.0,"47,101,246 ",Africa,782,"111,350",40,37,0.3,248,Dummy
110,Botswana,59480.0,0.0,896.0,0.0,55617.0,,2967.0,1.0,24820.0,374.0,1203796.0,502315.0,"2,396,497 ",Africa,40,"2,675",2,,,"1,238",Dummy
111,Jamaica,49232.0,53.0,996.0,6.0,27365.0,164,20871.0,11.0,16557.0,335.0,404228.0,135946.0,"2,973,435 ",North America,60,"2,985",7,18,2,"7,019",Dummy
112,Ivory Coast,47662.0,24.0,306.0,0.0,47178.0,43,178.0,0.0,1766.0,11.0,654588.0,24249.0,"26,994,667 ",Africa,566,"88,218",41,0.9,,7,Dummy
113,Senegal,41952.0,52.0,1151.0,1.0,40489.0,40,312.0,8.0,2445.0,67.0,536774.0,31280.0,"17,160,096 ",Africa,409,"14,909",32,3,0.06,18,Dummy
114,Madagascar,41894.0,25.0,882.0,3.0,40213.0,23,799.0,95.0,1477.0,31.0,207769.0,7325.0,"28,362,583 ",Africa,677,"32,157",137,0.9,0.1,28,Dummy
115,Zimbabwe,39852.0,164.0,1632.0,3.0,36992.0,22,1228.0,2.0,2645.0,108.0,595257.0,39505.0,"15,067,729 ",Africa,378,"9,233",25,11,0.2,81,Dummy
116,Cambodia,37959.0,638.0,320.0,9.0,31222.0,605,6417.0,0.0,2241.0,19.0,1229187.0,72570.0,"16,938,033 ",Asia,446,"52,931",14,38,0.5,379,Dummy
117,Angola,36600.0,145.0,825.0,6.0,30207.0,106,5568.0,9.0,1082.0,24.0,596451.0,17631.0,"33,829,111 ",Africa,924,"41,005",57,4,0.2,165,Dummy
118,Sudan,36278.0,29.0,2731.0,4.0,29967.0,24,3580.0,0.0,809.0,61.0,232965.0,5198.0,"44,815,801 ",Africa,"1,235","16,410",192,0.6,0.09,80,Dummy
119,DRC,34949.0,254.0,834.0,3.0,27825.0,2,6290.0,0.0,379.0,9.0,171465.0,1861.0,"92,126,284 ",Africa,"2,636","110,463",537,3,0.03,68,Dummy
120,Malawi,34485.0,15.0,1159.0,1.0,32725.0,16,601.0,12.0,1760.0,59.0,252527.0,12886.0,"19,596,264 ",Africa,568,"16,908",78,0.8,0.05,31,Dummy
121,Cabo Verde,31571.0,59.0,273.0,1.0,30316.0,85,982.0,23.0,56205.0,486.0,161272.0,287110.0,"561,709 ",Africa,18,"2,058",3,105,2,"1,748",Dummy
122,Malta,30581.0,2.0,419.0,0.0,30100.0,4,62.0,0.0,69085.0,947.0,951303.0,2149060.0,"442,660 ",Europe,14,"1,056",0,5,,140,Dummy
123,Australia,30237.0,8.0,910.0,0.0,29189.0,,138.0,1.0,1173.0,35.0,19254979.0,746891.0,"25,780,184 ",Australia/Oceania,853,"28,330",1,0.3,,5,Dummy
124,Trinidad and Tobago,28422.0,316.0,656.0,12.0,18431.0,422,9335.0,22.0,20247.0,467.0,207400.0,147743.0,"1,403,791 ",North America,49,"2,140",7,225,9,"6,650",Dummy
125,Rwanda,28146.0,284.0,370.0,2.0,26341.0,,1435.0,7.0,2123.0,28.0,1500425.0,113195.0,"13,255,192 ",Africa,471,"35,825",9,21,0.2,108,Dummy
126,Réunion,27235.0,0.0,212.0,0.0,25088.0,,1935.0,35.0,30215.0,235.0,102720.0,113959.0,"901,373 ",Africa,33,"4,252",9,,,"2,147",Dummy
127,French Guiana,25506.0,0.0,133.0,0.0,9995.0,,15378.0,33.0,83357.0,435.0,266705.0,871628.0,"305,985 ",South America,12,"2,301",1,,,"50,257",Dummy
128,Syria,24789.0,22.0,1808.0,2.0,21668.0,5,1313.0,0.0,1385.0,101.0,103566.0,5785.0,"17,901,892 ",Asia,722,"9,901",173,1,0.1,73,Dummy
129,Gabon,24736.0,0.0,156.0,0.0,23741.0,,839.0,17.0,10871.0,69.0,839236.0,368845.0,"2,275,311 ",Africa,92,"14,585",3,,,369,Dummy
130,Guinea,23389.0,23.0,167.0,0.0,21452.0,14,1770.0,24.0,1737.0,12.0,460267.0,34173.0,"13,468,696  ",Africa,576,"80,651",29,2,,131,Dummy
131,Mayotte,20176.0,0.0,173.0,0.0,2964.0,,17039.0,6.0,72308.0,620.0,176919.0,634055.0,"279,028 ",Africa,14,"1,613",2,,,"61,066",Dummy
