#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
214,0,North America,Saint Pierre Miquelon,,,,"5,797 ",,,1,,1.0,,173.0
215,79,Asia,China,3.0,3.0,,"1,439,323,776 ",8.0,,82974,4634.0,78261.0,,58.0
,1188151,North America,Total:,,3965.0,202.0,,18270.0,,1855806,113472.0,554183.0,,
,345404,South America,Total:,,2051.0,162.0,,10818.0,,607017,30752.0,230861.0,,
,853487,Europe,Total:,,,,,10363.0,,1885900,169275.0,863138.0,,
,363560,Asia,Total:,,432.0,,,13795.0,,936765,27068.0,546137.0,,
,62214,Africa,Total:,,250.0,10.0,,306.0,,109720,3277.0,44229.0,,
,545,Australia/Oceania,Total:,,,,,6.0,,8719,123.0,8051.0,,
,55,,Total:,,,,,4.0,,721,15.0,651.0,,
,324222,Europe,European Union,281.5022017021186,0.0,0.0,,5767.0,39581.63875359389,1170509,125339.0,681695.0,17623745.0,2628.877369471156
