#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
29,Romania,1081678,,34254.0,,1046776,,648,33.0,56623.0,1793.0,10226708.0,535345.0,"19,103,018 ",Europe,18,558,2,,,34,Dummy,Dummy
30,Pakistan,993872,2145.0,22848.0,37.0,921095,"+1,029",49929,2697.0,4410.0,101.0,15484282.0,68706.0,"225,369,040 ",Asia,227,"9,864",15,10,0.2,222,Dummy,Dummy
31,Portugal,932540,,17215.0,,863089,,52236,181.0,91736.0,1693.0,14472932.0,1423726.0,"10,165,529 ",Europe,11,591,1,,,"5,139",Dummy,Dummy
32,Malaysia,927533,,7148.0,,791388,,128997,915.0,28279.0,218.0,16498406.0,503008.0,"32,799,520 ",Asia,35,"4,589",2,,,"3,933",Dummy,Dummy
33,Israel,852943,,6450.0,,838953,,7540,60.0,91459.0,692.0,15827194.0,1697104.0,"9,326,000 ",Asia,11,"1,446",1,,,808,Dummy,Dummy
34,Japan,841537,,15048.0,,799062,,27427,392.0,6675.0,119.0,17538560.0,139117.0,"126,070,396 ",Asia,150,"8,378",7,,,218,Dummy,Dummy
35,Hungary,808864,,30017.0,,743245,,35602,11.0,83954.0,3116.0,6257264.0,649456.0,"9,634,627 ",Europe,12,321,2,,,"3,695",Dummy,Dummy
36,Jordan,762028,,9910.0,,743866,,8252,487.0,73918.0,961.0,8252203.0,800478.0,"10,309,096 ",Asia,14,"1,040",1,,,800,Dummy,Dummy
37,Serbia,718817,,7084.0,,709479,,2254,8.0,82618.0,814.0,4563171.0,524475.0,"8,700,454 ",Europe,12,"1,228",2,,,259,Dummy,Dummy
38,Switzerland,709536,,10903.0,,690729,,7904,29.0,81361.0,1250.0,8815269.0,1010824.0,"8,720,870 ",Europe,12,800,1,,,906,Dummy,Dummy
39,Nepal,668751,,9582.0,,633332,,25837,,22529.0,323.0,3477518.0,117151.0,"29,683,976 ",Asia,44,"3,098",9,,,870,Dummy,Dummy
