#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
101,Cyprus,62349,,298.0,,39061,,22990,74.0,51336.0,245.0,4679556.0,3853005.0,"1,214,521 ",Asia,19,"4,076",0,,,"18,929"
102,Singapore,61006,,30.0,,60662,,314,1.0,10361.0,5.0,9278789.0,1575928.0,"5,887,825 ",Asia,97,"196,261",1,,,53
103,Afghanistan,59021,,2592.0,,52489,,3940,1124.0,1489.0,65.0,395439.0,9976.0,"39,638,567 ",Asia,672,"15,293",100,,,99
104,Thailand,57508,2048.0,148.0,8.0,31593,480,25767,1.0,822.0,2.0,8124896.0,116165.0,"69,942,921 ",Asia,"1,216","472,587",9,29,0.1,368
105,Namibia,47776,,625.0,,45558,,1593,40.0,18530.0,242.0,381182.0,147845.0,"2,578,248 ",Africa,54,"4,125",7,,,618
106,Botswana,45855,,691.0,,41338,,3826,1.0,19185.0,289.0,982095.0,410896.0,"2,390,128 ",Africa,52,"3,459",2,,,"1,601"
107,Ivory Coast,45852,,282.0,,45374,,196,,1704.0,10.0,573182.0,21302.0,"26,906,953 ",Africa,587,"95,415",47,,,7
108,Jamaica,45004,,760.0,,20519,,23725,32.0,15144.0,256.0,324603.0,109231.0,"2,971,709  ",North America,66,"3,910",9,,,"7,984"
109,Uganda,41655,,341.0,,40898,,416,24.0,888.0,7.0,1006723.0,21462.0,"46,906,917 ",Africa,"1,126","137,557",47,,,9
110,Senegal,40135,,1102.0,,38861,,172,11.0,2347.0,64.0,473584.0,27694.0,"17,100,820 ",Africa,426,"15,518",36,,,10
111,Zimbabwe,38086,,1557.0,,35123,,1406,12.0,2533.0,104.0,405684.0,26976.0,"15,038,750 ",Africa,395,"9,659",37,,,93
112,Madagascar,35746,,599.0,,28429,,6718,384.0,1265.0,21.0,176625.0,6248.0,"28,266,966 ",Africa,791,"47,190",160,,,238
113,Malawi,34016,,1147.0,,31908,,961,6.0,1742.0,59.0,230514.0,11803.0,"19,529,866 ",Africa,574,"17,027",85,,,49
114,Sudan,32695,,2300.0,,26411,,3984,,732.0,51.0,232965.0,5214.0,"44,678,370 ",Africa,"1,367","19,425",192,,,89
115,Mongolia,31339,856.0,80.0,2.0,16815,"+1,412",14444,64.0,9436.0,24.0,2652302.0,798606.0,"3,321,166 ",Asia,106,"41,515",1,258,0.6,"4,349"
116,Malta,30174,,413.0,,29296,,465,,68189.0,933.0,858830.0,1940846.0,"442,503 ",Europe,15,"1,071",1,,,"1,051"
117,Australia,29680,14.0,910.0,,28522,,248,1.0,1153.0,35.0,16610653.0,645310.0,"25,740,587 ",Australia/Oceania,867,"28,286",2,0.5,,10
118,DRC,29576,,756.0,,26156,,2664,,322.0,8.0,147505.0,1608.0,"91,760,108 ",Africa,"3,103","121,376",622,,,29
