#,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,NewRecovered,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,"
",,,1367848,North America,North America,,5792.0,807.0,"+5,369",,19422.0,,2774792,156222.0,1250722.0,,
,"
",,,722638,South America,South America,,1105.0,47.0,"+15,307",,12536.0,,1817322,72629.0,1022055.0,,
,"
",,,872819,Europe,Europe,,,,,,6187.0,,2326847,187929.0,1266099.0,,
,"
",,,658006,Asia,Asia,,4960.0,107.0,"+2,144",,19249.0,,1945634,49155.0,1238473.0,,
,"
",,,156708,Africa,Africa,,,,,,502.0,,318321,8371.0,153242.0,,
,"
",,,497,Australia/Oceania,Oceania,,20.0,,2,,2.0,,9115,124.0,8494.0,,
,"
",,,3778571,All,World,60.9,11877.0,961.0,"+22,822",,57902.0,,9192752,474445.0,4939736.0,,1179.0
11,436,"9,341",17,7850,Europe,Germany,107.0,,,,"83,778,407 ",349.0,60036.0,192119,8969.0,175300.0,5029696.0,2293.0
12,446,"16,952",28,22390,Asia,Turkey,59.0,,,,"84,316,812 ",846.0,35422.0,188897,4974.0,161533.0,2986653.0,2240.0
13,696,"5,708",264,22420,North America,Mexico,175.0,4577.0,759.0,"+4,839","128,899,712 ",378.0,3790.0,185122,22584.0,140118.0,488550.0,1436.0
14,"1,193","59,748",196,107868,Asia,Pakistan,17.0,3946.0,105.0,"+2,013","220,767,628 ",3236.0,5104.0,185034,3695.0,73471.0,1126761.0,838.0
15,216,"26,625",26,54523,Asia,Saudi Arabia,38.0,,,,"34,799,212 ",2045.0,37882.0,161005,1307.0,105175.0,1318267.0,4627.0
16,406,"2,200",47,56475,Europe,France,454.0,,,,"65,270,599 ",701.0,21214.0,160750,29663.0,74612.0,1384633.0,2463.0
17,"1,422","109,620",261,67529,Asia,Bangladesh,9.0,,,,"164,649,824 ",1.0,3831.0,115786,1502.0,46755.0,630719.0,703.0
18,371,"4,473",15,28867,North America,Canada,224.0,,,,"37,734,379 ",2048.0,64772.0,101637,8436.0,64334.0,2444118.0,2693.0
19,584,"29,779",44,46155,Africa,South Africa,34.0,,,,"59,289,635  ",208.0,22823.0,101590,1991.0,53444.0,1353176.0,1713.0
20,32,"28,362",9,18348,Asia,Qatar,35.0,,,,"2,807,805 ",219.0,115596.0,88403,99.0,69956.0,324570.0,31485.0
21,715,"22,021",82,39905,South America,Colombia,45.0,,,,"50,869,620 ",335.0,12194.0,71183,2310.0,28968.0,620288.0,1399.0
22,191,"1,195",11,34083,Europe,Belgium,837.0,,,,"11,588,552 ",50.0,94827.0,60550,9696.0,16771.0,1098910.0,5225.0
23,160,"26,921",11,20749,Europe,Belarus,37.0,,,,"9,449,382 ",89.0,92772.0,59023,351.0,37923.0,876639.0,6246.0
24,171,"1,971",26,0,Europe,Sweden,507.0,,,N/A,"10,097,867 ",200.0,38192.0,58932,5122.0,0.0,385659.0,5836.0
25,"1,800","44,899",758,39398,Africa,Egypt,22.0,,,,"102,278,857 ",41.0,1320.0,56809,2278.0,15133.0,135000.0,555.0
26,348,"4,176",127,21426,South America,Ecuador,239.0,,,,"17,635,866 ",273.0,7901.0,50640,4223.0,24991.0,139333.0,2871.0
27,345,"2,813",32,0,Europe,Netherlands,355.0,,,N/A,"17,134,107 ",55.0,31650.0,49658,6090.0,0.0,542288.0,2898.0
28,"5,837","109,381",420,25610,Asia,Indonesia,9.0,,,,"273,452,965 ",,2378.0,46845,2500.0,18735.0,650311.0,171.0
29,218,"32,632",3,11954,Asia,UAE,31.0,,,,"9,887,390 ",1.0,307260.0,45303,303.0,33046.0,3038000.0,4582.0
30,"1,006","43,323",158,30735,South America,Argentina,23.0,,,,"45,185,943 ",353.0,6316.0,44931,1043.0,13153.0,285391.0,994.0
31,138,"224,972",10,6697,Asia,Singapore,4.0,,,,"5,849,282 ",1.0,98506.0,42313,26.0,35590.0,576189.0,7234.0
32,106,"12,936",12,8191,Asia,Kuwait,77.0,,,,"4,268,890 ",181.0,83767.0,40291,330.0,31770.0,357594.0,9438.0
33,259,"6,647",10,12310,Europe,Portugal,150.0,,,,"10,197,233 ",72.0,102686.0,39392,1534.0,25548.0,1047109.0,3863.0
34,"1,174","43,219",77,19587,Europe,Ukraine,23.0,,,,"43,737,992 ",353.0,13023.0,37241,1012.0,16642.0,569589.0,851.0
35,"1,230","34,443",88,16724,Asia,Iraq,29.0,,,,"40,194,782 ",222.0,11328.0,32676,1167.0,14785.0,455316.0,813.0
36,"1,174","27,849",28,13792,Europe,Poland,36.0,,,,"37,847,378 ",72.0,35829.0,32227,1359.0,17076.0,1356035.0,851.0
37,276,"4,424",17,354,Europe,Switzerland,226.0,,,,"8,653,182 ",16.0,58892.0,31310,1956.0,29000.0,509600.0,3618.0
38,164,"37,244",32,14531,Asia,Oman,27.0,,,,"5,102,427 ",100.0,31667.0,31076,137.0,16408.0,161580.0,6090.0
39,"3,570","93,070",181,21362,Asia,Philippines,11.0,,,,"109,543,378 ",82.0,5536.0,30682,1177.0,8143.0,606442.0,280.0
40,"1,334","65,052",591,19718,Asia,Afghanistan,15.0,,,,"38,901,392 ",19.0,1693.0,29157,598.0,8841.0,65847.0,750.0
41,396,"16,211",84,11363,North America,Dominican Republic,62.0,,,,"10,845,284 ",175.0,11874.0,27370,669.0,15338.0,128775.0,2524.0
42,161,"8,278",39,11567,North America,Panama,121.0,,,,"4,312,925 ",132.0,25502.0,26752,521.0,14664.0,109990.0,6203.0
43,458,"14,230",190,18816,South America,Bolivia,70.0,1105.0,47.0,403,"11,668,878 ",71.0,5267.0,25493,820.0,5857.0,61455.0,2185.0
44,194,"2,875",12,968,Europe,Ireland,348.0,,,,"4,936,422 ",17.0,81623.0,25383,1717.0,22698.0,402924.0,5142.0
45,792,"12,633",31,5737,Europe,Romania,79.0,,,,"19,239,716 ",195.0,32764.0,24291,1523.0,17031.0,630374.0,1263.0
46,76,"26,144",3,5480,Asia,Bahrain,38.0,,,,"1,699,355 ",37.0,285823.0,22407,65.0,16862.0,485715.0,13186.0
47,436,"29,960",11,5014,Asia,Israel,33.0,,,,"9,197,590 ",44.0,92510.0,21082,307.0,15761.0,850869.0,2292.0
48,"9,846","392,336","1,779",13285,Africa,Nigeria,3.0,,,,"205,976,222 ",7.0,562.0,20919,525.0,7109.0,115760.0,102.0
49,144,"8,231",31,11097,Asia,Armenia,121.0,,,,"2,963,132 ",10.0,32683.0,20588,360.0,9131.0,96843.0,6948.0
50,"1,030","147,804",14,6946,Asia,Kazakhstan,7.0,499.0,,,"18,771,059 ",121.0,73350.0,18231,127.0,11158.0,1376862.0,971.0
51,"7,060","132,721",303,830,Asia,Japan,8.0,,,,"126,483,253 ",59.0,3304.0,17916,953.0,16133.0,417951.0,142.0
52,518,"13,051",16,449,Europe,Austria,77.0,,,,"9,005,271 ",10.0,62830.0,17380,690.0,16241.0,565800.0,1930.0
53,281,"8,404",64,5864,Europe,Moldova,119.0,,,,"4,034,131 ",465.0,15698.0,14363,480.0,8019.0,63328.0,3560.0
54,"2,194","365,336",115,3596,Africa,Ghana,3.0,,,,"31,053,574 ",6.0,8704.0,14154,85.0,10473.0,270300.0,456.0
55,"1,300","32,735",570,10404,North America,Guatemala,31.0,624.0,16.0,107,"17,906,094 ",5.0,1755.0,13769,547.0,2818.0,31427.0,769.0
56,741,"25,064",460,11599,North America,Honduras,40.0,584.0,32.0,69,"9,900,320 ",13.0,2176.0,13356,395.0,1362.0,21540.0,1349.0
57,768,"62,963",24,5878,Asia,Azerbaijan,16.0,,,,"10,137,018 ",66.0,42063.0,13207,161.0,7168.0,426394.0,1303.0
58,673,"33,351",25,731,Europe,Serbia,30.0,,,,"8,737,972 ",19.0,39513.0,12990,262.0,11997.0,345260.0,1487.0
59,462,"9,621",6,578,Europe,Denmark,104.0,,,,"5,791,777 ",7.0,159518.0,12527,602.0,11347.0,923893.0,2163.0
60,"4,107","182,450",43,1295,Asia,S. Korea,5.0,46.0,1.0,27,"51,268,325 ",15.0,23328.0,12484,281.0,10908.0,1196012.0,244.0
61,"2,203","86,119",,3993,Africa,Cameroon,12.0,,,,"26,524,696 ",28.0,,12041,308.0,7740.0,,454.0
62,"3,677","51,442",,2509,Africa,Algeria,19.0,,,,"43,828,594 ",39.0,,11920,852.0,8559.0,,272.0
63,"1,018","31,871",21,2650,Europe,Czechia,31.0,,,,"10,708,584 ",9.0,48591.0,10523,336.0,7537.0,520344.0,983.0
64,"3,628","172,428",66,1592,Africa,Morocco,6.0,,,,"36,899,583 ",7.0,15087.0,10172,214.0,8366.0,556695.0,276.0
65,"3,046","1,266,173",65,7390,Asia,Nepal,0.8,,,,"29,121,970 ",,15434.0,9561,23.0,2148.0,449474.0,328.0
66,619,"21,856",17,365,Europe,Norway,46.0,,,,"5,420,266 ",7.0,57310.0,8751,248.0,8138.0,310635.0,1614.0
67,"5,038","82,209","109,270",4705,Africa,Sudan,12.0,,,,"43,817,324 ",,9.0,8698,533.0,3460.0,401.0,199.0
68,"3,768","267,400",47,289,Asia,Malaysia,4.0,,,,"32,355,388 ",2.0,21230.0,8587,121.0,8177.0,686905.0,265.0
69,"3,433","470,668",573,4128,Africa,Ivory Coast,2.0,,,,"26,357,396 ",,1745.0,7677,56.0,3493.0,45996.0,291.0
70,"3,403","249,926",12,486,Australia/Oceania,Australia,4.0,18.0,,1,"25,492,499 ",2.0,83154.0,7492,102.0,6904.0,2119795.0,294.0
71,776,"16,944",24,417,Europe,Finland,59.0,,,,"5,540,549 ",2.0,41602.0,7144,327.0,6400.0,230500.0,1289.0
72,"5,147","1,760,861",32,2031,Asia,Uzbekistan,0.6,39.0,,,"33,456,364 ",19.0,31043.0,6500,19.0,4450.0,1038575.0,194.0
73,"2,802","194,528",239,1931,Africa,Senegal,5.0,,,,"16,729,440 ",21.0,4189.0,5970,86.0,3953.0,70080.0,357.0
74,"15,102","662,710",,4933,Africa,DRC,2.0,,,,"89,465,899 ",,,5924,135.0,856.0,,66.0
75,"1,729","183,290",,1422,Asia,Tajikistan,5.0,,,,"9,531,066 ",,,5513,52.0,4039.0,,578.0
76,"2,187","129,534","1,054",4785,North America,Haiti,8.0,,,314,"11,399,016 ",,948.0,5211,88.0,338.0,10810.0,457.0
77,401,"8,435",40,2975,Europe,North Macedonia,119.0,,,,"2,083,376 ",55.0,24904.0,5196,247.0,1974.0,51885.0,2494.0
78,"2,631","485,961",911,1292,Africa,Guinea,2.0,,,,"13,120,948 ",24.0,1098.0,4988,27.0,3669.0,14407.0,380.0
79,"1,349","60,612",45,2006,North America,El Salvador,16.0,,,40,"6,485,498 ",149.0,22032.0,4808,107.0,2695.0,142886.0,741.0
80,"11,202","429,882",377,2992,Africa,Kenya,2.0,,,,"53,735,197 ",7.0,2649.0,4797,125.0,1680.0,142366.0,89.0
81,469,"57,028",74,2698,Africa,Gabon,18.0,,,,"2,224,089 ",9.0,13531.0,4739,39.0,2002.0,30095.0,2131.0
82,"24,635","1,531,634",523,3291,Africa,Ethiopia,0.7,,,,"114,872,557 ",38.0,1911.0,4663,75.0,1297.0,219566.0,41.0
83,215,"20,575",22,599,Africa,Djibouti,49.0,,,,"987,619 ",,45446.0,4599,48.0,3952.0,44883.0,4657.0
84,152,"5,688",4,52,Europe,Luxembourg,176.0,,,,"625,699 ",2.0,238722.0,4121,110.0,3959.0,149368.0,6586.0
85,"2,355","16,889",37,940,Europe,Hungary,59.0,,,,"9,660,788 ",14.0,26718.0,4102,572.0,2590.0,258115.0,425.0
86,"7,025","812,496",25,2686,South America,Venezuela,1.0,,,,"28,437,362 ",6.0,40216.0,4048,35.0,1327.0,1143648.0,142.0
87,"1,744","33,571",58,1606,Europe,Bulgaria,30.0,,,,"6,949,249 ",11.0,17204.0,3984,207.0,2171.0,119556.0,573.0
88,931,"19,188",40,1084,Europe,Bosnia and Herzegovina,52.0,,,,"3,281,145 ",4.0,24696.0,3525,171.0,2270.0,81030.0,1074.0
89,"1,853","159,054",34,1424,Asia,Kyrgyzstan,6.0,163.0,1.0,33,"6,521,232 ",30.0,29310.0,3519,41.0,2054.0,191137.0,540.0
90,"3,171","54,863",36,1723,Europe,Greece,18.0,,,,"10,423,902 ",8.0,27436.0,3287,190.0,1374.0,285989.0,315.0
91,"22,115","1,203,387",149,75,Asia,Thailand,0.8,5.0,,1,"69,796,420 ",1.0,6708.0,3156,58.0,3023.0,468175.0,45.0
92,"1,489","41,479",336,2104,Africa,Mauritania,24.0,,,,"4,645,650 ",11.0,2980.0,3121,112.0,905.0,13842.0,672.0
93,"1,629","160,914",231,2438,Africa,CAR,6.0,,,,"4,827,416 ",2.0,4330.0,2963,30.0,495.0,20901.0,614.0
94,"5,647","176,425",,1904,Africa,Somalia,6.0,,,,"15,878,286 ",2.0,,2812,90.0,818.0,,177.0
95,121,"37,304",37,1478,South America,French Guiana,27.0,,,,"298,430 ",14.0,27011.0,2458,8.0,972.0,8061.0,8236.0
